brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,type,display_size,Touchscreen,msoffice,latest_price
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,35990
RedmiBook,15,Intel,Core i3,11th,8,DDR4,512,0,Windows,32-bit,0,ThinNlight,15.6,No,No,42990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,No,No,42990
ASUS,VivoBook,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32-bit,0,Casual,14,Yes,Yes,51990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,48990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,No,No,42990
Lenovo,Other,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,No,38990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.96,No,No,45990
HP,Other,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42490
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43970
ASUS,Other,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,39990
MSI,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,No,No,48990
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,No,Yes,54990
MSI,Other,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,No,No,40990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.1,No,Yes,41990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,Yes,No,54990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,No,Yes,44990
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,41250
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,No,No,44990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,No,No,42990
DELL,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,Yes,No,60790
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,45650
DELL,Vostro,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,No,Yes,41990
DELL,Inspiron,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,No,45490
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.1,No,Yes,44990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
HP,15s,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,45490
HP,Other,Intel,Core i3,10th,4,DDR4,512,0,Windows,32-bit,0,Casual,15.6,No,No,38799
HP,Pavilion,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,Yes,Yes,69267
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,Yes,51649
HP,Other,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,47990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,40990
ASUS,Other,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,44890
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,41490
HP,15s,Intel,Core i3,11th,4,DDR4,512,0,Windows,32-bit,0,ThinNlight,15.6,No,No,50990
HP,Other,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,48900
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,40990
DELL,Vostro,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,41790
Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,Yes,Yes,57999
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,No,45930
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,Yes,Yes,55490
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64-bit,0,Casual,14.1,No,No,32890
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,35990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,42490
DELL,Vostro,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14,No,No,42190
DELL,Vostro,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14,No,Yes,39490
HP,15s,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43690
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,35990
DELL,3000,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,43800
Lenovo,Other,Intel,Core i3,10th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,38990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,34990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,38900
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,39990
DELL,INSPIRON,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,40890
Lenovo,Other,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,36990
HP,15s,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,39990
HP,Other,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,41990
DELL,Other,Intel,Core i3,11th,4,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,43970
HP,Notebook,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,39790
ASUS,Other,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,15.6,No,No,35590
HP,14s,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,36490
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,38990
ASUS,Other,Intel,Core i3,10th,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,15.6,No,No,33990
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,Yes,43400
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,24990
HP,15s,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,40750
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43000
ASUS,Vivo,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,38000
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14.96,No,Yes,37990
HP,DA,Intel,Core i3,7th,8,DDR4,0,1024,Windows,64-bit,2,Casual,15.6,No,No,49279
Lenovo,Other,Intel,Core i3,10th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,38999
ASUS,Other,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,41500
acer,Other,Intel,Core i3,11th,4,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,36999
DELL,Other,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,42900
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,21490
DELL,Insprion,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,41480
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,32990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,38680
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,23990
DELL,Other,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14.96,No,No,40390
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14.1,No,No,33990
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,20490
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,41490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,No,No,45490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,No,No,44490
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64-bit,0,Casual,14.1,No,Yes,41890
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,14,No,Yes,42990
acer,Travelmate,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64-bit,0,Casual,14,No,No,40990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,48990
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43590
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,No,No,44690
ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,No,No,40990
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43990
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,43590
DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,41390
DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,44290
DELL,Inspiron,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,No,No,48999
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,Yes,39990
DELL,Other,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,46390
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,18990
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,17990
HP,14a,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,26470
HP,Chromebook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,27990
Lenovo,Celeron,Intel,Celeron Dual,Other,4,DDR4,0,1024,Windows,32-bit,0,Casual,15.6,No,No,29999
Lenovo,IdeaPad,Intel,Celeron Dual,Other,4,LPDDR4X,0,512,Windows,64-bit,0,Casual,15.6,No,No,25990
Lenovo,IdeaPad,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,16990
Lenovo,IdeaPad,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,24990
acer,Predator,Intel,Core,Other,4,DDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,99990
acer,Aspire,Intel,Core i5,Other,8,DDR5,0,512,Windows,32-bit,4,Casual,15.6,No,No,50990
acer,Spin,Intel,Core i5,Other,8,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,119990
acer,Swift,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,0,Casual,15.6,No,No,94190
ASUS,ROG,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,4,Casual,15.6,No,No,106167
DELL,Other,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,4,Casual,15.6,No,No,68090
DELL,XPS,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,0,ThinNlight,15.6,No,No,139990
HP,15s,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,0,ThinNlight,15.6,No,No,55990
HP,Omen,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,4,Casual,15.6,No,No,102551
lenovo,Ideapad,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32-bit,0,Casual,15.6,No,No,72990
